en,zh-hant,zh-hans
coordinator entity expert system,協調者實體專家系統,
coordinator routine,協調者常式,
coordonnier,同位孔,
coordonnier check,同位孔檢查,
coordonnier system,同位孔系統,
coplanar grid,共面柵極,
coplanar tape,共面帶,
copper binding wire,銅包線,
copper clad,銅包覆,
copper deposit,銅存,
copper distributed data interface,銅線分布式資料介面,銅線分布式數據接口
copper foil,銅箔,
copper foil laminate,銅箔疊層板,
copper plate,銅板,
copper wire,銅線,
copper-clad laminate,敷銅層板,
coprocessing,共處理,協同處理
coprocessor,共處理機,協處理器
coprocessor arithmetic processor,共處理機運算處理機,
coprocessor register,共處理機,
copy,複製；抄寫；拷貝；複本,"復制, *拷貝"
copy check,複製檢查,
copy control character,複製控制字元,
copy density,複製密度,
copy descriptor,複製描述符,
copy field,複製欄,
copy file,複製檔案,
copy group,複製組,
copy line command,複製字行命令,
copy on reference,參考複製,
copy operation,複製操作,
copy option,複製選項,
copy process,複製過程,
copy propagation,複製傳播,復制傳播
copy protection,複製保護,復制保護
copy rule,複製規則,
copy screen mode,複製螢幕模式,
copy selection,複製選擇,
copyright,版權,
coral ring,珊瑚環,
cordwood module,積木式模組,
cordwood technique,積木式技術,
core,磁心,(磁)心
core address,磁心位址,
core allocation,磁心分配,
core array,磁心陣列,
core bank,磁心記憶庫,
core buffer,磁心緩衝區,
core common,共用磁心,
core diode circuit,磁心二極體電路,
core diode storage matrix,磁心二極體儲存矩陣,
core driver,磁心驅動器,
core dump,磁心傾印,
core file,磁心檔案,
core heating,磁心熱,
core image,磁心影像；儲存像,
core image library,磁心影像程式館,核心映像庫
core load,核心載入,
core load module,核心載入模組,
core load overlay builder,核心載入重疊建立器,
core management,磁心管理,
core management macros,磁心管理巨集指令,
core memory,磁心記憶體,
core memory reentrant routine,磁心記憶體重入常式,
core memory resident,磁心記憶體常駐區,
core mismatch,磁心失配,
core module,核心模組,
core plane,磁芯板；磁心板,
core production,磁心生成,
core protocol,核心協定,
core resident,磁心常駐,
core resident routine,磁心常駐常式,
core rope storage,磁心線儲存（體）,
core stack,磁心堆疊,
core storage,磁心儲存,
core store,磁心儲存（體）,
core switch circuit,磁心開關電路,
core system,磁心系統,
core tape,磁心帶,
core testing circuit,磁心測試電路,
core transistor circuit,磁心電晶體電路,
coreference,互相參考,互指
corner,角落,
corner cut,切角,
corner tolerance,轉角容差,
corona,電暈,
corona discharge,電暈放電,
coroutine,共常式相關,協同例程
coroutine call and return,共常式呼叫及回覆,
coroutine linkage,共常式鏈接,
corpora,語料庫,語料庫
corporate data network,總公司資料網路,
corporate database,總公司資料庫,
corporate financial system,總公司財務系統,
corporate information center,總公司資訊中心,
corporate information service department,總公司資訊服務部,
corporate management information system,總公司管理資訊系統,
corporate phone directory,總公司電話目錄,
corporate planning system,總公司規劃系統,
corporate resolution,總公司決議,
corporate strategic plan,企業策略計劃,
corporation for open systems,開放系統公司,
corpus,語料庫,語料庫
corpus linguistics,語言學語料庫,語料庫語言學
corpuscle,粒子,
correct,正確,
correct data,正確資料,
correct entry,正確項,
correct rate for input,輸入正確率,輸入正確率
correct recognition rate,正確識別率,
correct route,正確路線,
correct time,正確時間,
correctable error,可校正錯誤,
correctable gate,可校正閘,
corrected data,已校資料,
correcting circuit,校正電路,
correcting code,校正碼,
correcting computer,校正計算機,
correcting condition,校正條件,
correcting element,校正元件,
correcting function,校正函數,
correcting pulse,校正脈衝,
correcting signal,校正信號,校正信號
correction,校正,
correction capability,校正能力,
correction channel,校正通道,
correction code,校正碼,
correction code byte,校正碼位元組,
correction code check,校正碼檢查,
correction coefficient,校正係數,
correction data,校正資料,
correction increment,校正增量,
correction of error,誤差校正,
correction program,校正程式,
correction support circuitry,校正支援電路,
correction system,校正系統,
correction term,校正項,
correction time,校正時間,
corrective action,校正動作,改正性活動
corrective action request,校正動作請求,
corrective command,校正命令,
corrective guidance command,校正導引命令,
corrective maintenance,校正維護,
corrective maintenance time,校正維護時間,
corrective network,校正網路,
corrective service,校正服務,
correctness,正確性,正確性
correctness of algorithm,演算法正確性,算法正確性
correctness of concurrency control,並行控制的正確度,
correctness oriented programming,正確度導向程式設計,
correctness proof,正確性證明,正確性証明
correctness specification,正確規格,
corrector,校正器,
corrector formula,校正器公式,
corrector unit,校正器裝置,
correlated data processor,相關資料處理機,
correlated noise,相關雜訊,
correlated radio lines,相關無線電線路,
correlation adjusted,相關性調整,
correlation coefficient,相關係數,
correlation control unit,相關控制單元,相關控制部件
correlation detection,相關檢測,相關探測
correlation detector,相關檢測器,
correlation level,相關位準,
correlation matching,相關匹配,相關匹配
correlation matrix,相關矩陣,
correlation tolerance,相關容許度,
correspondence,對應,
correspondence problem,對應問題,
correspondent,通信者；有往來客戶；符合,
corresponding,對應,
corresponding point,對應點,對應點
corroborate,確證,確証
corruption,訛誤,
Coset,Coset集,
cosine,餘弦,
cosine equalizer,餘弦等化器,
cost,成本,
cost adjustment,成本調整,
cost amount for month-to-date,本月至今日成本金額,
cost analysis,成本分析,
cost and effectiveness analysis,成本及效用分析,
cost basis,成本基礎,
cost benefit analysis,成本效益分析,
cost broken down,成本分解,
cost comparison,成本比較,
cost control system,成本控制系統,
cost deviation,成本偏差,
cost deviation code,成本偏差碼,
cost effectivity,成本有效性,
cost estimate,成本估計,
cost estimation,成本估計,
cost function,成本函數,代價函數
cost model,成本模型,
cost of all on-hand items,全部在庫項目成本,
cost of capital,資本成本,
cost of on-hand,在庫成本,
cost of placing an order,發出一訂單之成本,
cost of sales,銷售成本,
cost of sales this period,本期銷售成本,
cost of sales this year,本年銷售成本,
cost of usage this period,本期使用量成本,
cost of usage this year,本年使用量成本,
cost overrun,成本超出,
cost per piece,每件成本,
cost per unit,每單位成本,
cost performance,成本績效,
cost performance ratio,成本效益比,
cost rate,成本比率,
cost replace amount,成本替換金額,
cost report,成本報表,
cost summary,成本彙總,
cost technique,成本技術,
cost technique code,成本技術碼,
cost total sheet,成本總計表單,
cost variance,成本變異數,
cost variations－current to standard,成本差異－現金對標準,
cost worksheet,成本工作單,
cost-based query optimization,成本為本的查詢最佳化,基于代價的查詢優化
cost-benefit analysis,成本效益分析,成本效益分析
costing,成本法,
costing date,成本日期,
costing table,成本表,
co-tree,同樹結構,
Council of Europe,歐洲議會,
count area,計數區,
count attribute,計數屬性,
count field,計數欄,
count key data device,計數鍵資料裝置,
count key data format,計數鍵資料格式,
count of value,計值,
count parameter,計數參數；計數器,
countable function,可計算函數,
counted quantity,盤點數量,
counted string,已計數字串,
counter,計數器,計數器
counter clockwise,逆時鐘方向,
counter〔reversible counter〕,計數器[可逆計數器],計數器[可逆計數器]
counter-alternate arc,計數選擇弧,計數選擇弧
countermeasure,對策,對策
counting semaphore,計數旗號,
coupled device,耦合裝置,
coupled system,耦合系統,
coupled transmission line,耦合傳輸線,耦合傳輸線
coupler,耦合器,
coupling,耦合,耦合
coupling degree,耦合度,耦合度
coupling inertia,耦合慣性,
coupling ratio,耦合比率,
Courier,Courier字型,
course development system,課程開發系統,
course line computer,航線計算機,
courseware,教材；教學軟體,課件
courtesy copy,副本,抄件
cover,蓋子,
cover assembly,蓋板組合,
cover letter,封面信件,
cover node,覆蓋節點,
cover of set of dependencies,相依集的覆蓋,依賴集的覆蓋
cover slide,蓋板滑軌,
coverability graph,可覆蓋圖,可覆蓋圖
coverability tree,可覆蓋樹,可覆蓋樹
coverage analysis,適用範圍分析；涵蓋範圍分析,
coverage analyzer,覆蓋分析器,
coverage test,覆蓋測試,覆蓋測試
covering,覆蓋,
covering marking,覆蓋標示,覆蓋標識
covert channel,隱蔽信道,隱蔽信道
CP/OSS,CP/OSS辦公室自動化系統,
CPI,平均指令周期數,平均指令周期數
CPU,中央處理單元,"中央處理器, *中央處理機"
crank,曲柄,
crash,當機；故障的；系統故障,崩潰
crash time,故障時間；趕工時間,
Cray-1,Cray-1電腦,
CRB,通道請求塊,
CRC,循環冗餘檢查,循環冗余檢驗
create,建立,
create a directory,建立目錄,
create form,建立表格,
create primitive,建立基元,創建原語
created symbol,生成符號,
creating new document form,建立新文件表格,
creation date,建立日期,創建日期
credential,身份碼,
credentials,憑證,憑証
credit,貸款；信用,
credit code,信用碼,
credit description,信用描述,
credit discount,信用折扣,
credit extension decisions,信用延伸決策,
credit limit,信用額度,
credit memo,貸項憑單,
credit memo code,貸項憑單碼,
credit memo invoice reference,貸項憑單發票證明,
credit memorandum,貸項憑單,
credit verification,信用驗證,
creditor,債權人,
creepage distance,漏電距離,
creeping random search,蠕行隨機搜尋,
crew,組員,
crimp connection,壓接,
crimp depth,曲附深度,
crippled leapfrog test,跛足跳位測試,踏步測試
crisis management plan,危機管理計劃,
criteria,準則,
criterion function,準則函數,
criterion register,準則暫存器,
critical,關鍵；關鍵的,
critical computation,關鍵計算,關鍵計算
critical control,臨界控制,臨界控制
critical current,臨界電流,
critical error handler,緊要錯誤處置器,
critical extension center,臨界延伸中心,
critical field,臨界場,
critical fusion frequency,臨界頻率,臨界停閃頻率
critical item,緊要項目,
critical load line,臨界負載線,臨界負載線
critical microoperation,臨界微作業,
critical operation time factor,緊要作業時間因數,
critical orders list,緊要訂單列表,
critical path,關鍵路徑,關鍵路徑
critical path method,要徑法,
critical path test generation,要徑測試產生,臨界通路測試產生法
critical path tracing,追蹤要徑,
critical piece first,關鍵部分優先,關鍵部分優先
critical race,臨界競賽,
critical ratio,臨界比,
critical ratio limit,緊要比極限,
critical ratio value,臨界比值,
critical region,臨界區域,臨界區
critical resource,臨界資源,臨界資源
critical section,緊要區段；臨界區段,臨界區
critical success factor,關鍵成功因素,關鍵成功因素
critical temperature,臨界溫度,
criticality,危急度,關鍵程度
crop,剪裁,
cropping,修剪,
cross application support system,交叉應用支援系統,
cross assembler,交叉組合程式,交叉匯編程序
cross bar switch,縱橫式交換機,
cross bar switching system,叉線式交換系統；縱橫式交換系統,
cross check,交叉檢查,
cross compiler,交叉編譯程式,
cross compiling,交叉編譯,交叉編譯
cross connect,交叉連接,交叉連接[單元]
cross correlation,交叉相關,
cross correlative function,交叉相關函數,
cross coupling,交叉耦合,交叉耦合
cross coupling noise,交叉耦合雜訊,交叉耦合噪聲
cross cursor,交叉游標,
cross edge,交叉緣,橫跨邊
cross feed,交叉串擾,
cross file,交叉檔案,
cross filing,交叉歸檔,
cross fire,交叉串擾,
cross flow blower,交叉流吹風機,
cross footing,交叉合計,
cross hair,十字準線,
cross hair cursor,十字準線游標,
cross hatch,交叉影線,
cross hatch bubble device,交叉穿孔磁泡裝置,
cross impact,交叉衝擊,
cross infection,交叉傳染,交叉感染
cross learning,交叉學習,
cross modulation,交叉調變,
cross operation,交叉運算；交叉運作,
cross point fault,交叉點錯誤,
cross point switch system,交叉點交換系統,
cross product,交叉乘積,叉積
cross reference,交叉引用；對照參考,
cross reference dictionary,對照參考字典,
cross reference index,對照參考索引,
cross reference table,對照參考表,
cross reference table or listing,對照參考表或列表,
cross referencing,交叉參考,
cross section,截面；對照參考,截面
cross section curve,截面曲線,截面曲線
cross tabulation,交叉製表,
cross talk,串音,串擾
cross talk amplitude,串音幅度,串擾幅度
cross tracking,十字追蹤,
cross translator,交叉翻譯器,
crossbar,交叉開關,交叉開關
crossbar network,交叉開關網路,交叉開關網
crossfoot,交叉結算；行末腳註,
crossing sequence,交叉序列,穿越序列
cross-linked file,交叉鏈接文件,交叉鏈接文件
crossover,雜交,雜交
cross-over,跨接,跨接
crosspoint connection,交點連接,
crosspoint switching matrix,交點開關矩陣,
cross-section of array,陣列截面,
crosstalk,串音,
crosstalk attenuation,串音衰減,
crosstalk coupling,串音耦合,
crosstalk disturbance,串音擾亂,
crosstalk interference,串音干擾,
crosstalk measure set,串音量測裝置,
crosstalk meter,串音測試儀,
crosstalk path,串音路徑,
cross-under,穿接,
crossword puzzle,填字字謎,
crowbar,消弧電路,
CRT,陰極射線管,陰極射線管
CRT display,陰極射線管顯示器,"陰極射線管顯示器, *CRT顯示器"
CRT storage,CRT儲存器,
crude,素材；未加工的,
crude materials,生料,
cryoelectronics,低溫電子學,
cryogenic,低溫,
cryogenic computer memory,低溫計算機記憶體,
cryogenic continuous film memory,低溫連續膜記憶體,
cryogenic data center,低溫資料中心,
cryogenic element,低溫元件,
cryogenic memory,低溫記憶體,
cryogenic storage,低溫儲存器,低溫存儲器
cryogenic storage container,低溫儲存容器,
cryogenic storage system,低溫儲存系統,
cryogenic store,低溫儲存,
cryogenics,低溫物理學,
cryometer,低溫計,
cryomite,小型低溫致冷器,
cryopump,低溫泉,
cryosar,雪崩復合低溫開關,
cryoscope,冰點測定器,
cryostat,致冷器,
cryotron,冷子管,
cryotron associative processor,冷子管結合處理機,
cryotron computer,冷子管計算機,
cryotron memory,冷子管記憶體,
crypt analytical attack,密碼分析攻擊,密碼分析攻擊
cryptanalysis,密碼分析,密碼分析
crypto,密碼機,
cryptocenter,密碼中心,
cryptochannel,密碼通道,
cryptogram,密碼電文,
cryptograph,密碼；密碼打字機,
cryptographic algorithm,密碼演算法,加密算法
cryptographic checksum,密碼核對和,密碼檢驗和
cryptographic communication,密碼通訊,
cryptographic data unit,密碼資料單元,
cryptographic device,密碼裝置,
cryptographic equipment,密碼設備,
cryptographic facility,加密設施,密碼設施
cryptographic key,密碼鍵,
cryptographic key distribution center,密碼鍵分配中心,
cryptographic key translation center,密碼鍵翻譯中心,
cryptographic module,密碼模組,密碼模件
cryptographic protocol,密碼協定,加密協議
cryptographic severe message,嚴格加密信息；特密電,
cryptographic system,密碼系統,"密碼系統, *密碼體制"
cryptographic transformation,密碼變換,
cryptographical center,密碼中心,
cryptography,密碼學,
cryptography architecture,密碼架構,
cryptography community,密碼社群,密碼界
cryptoguard,密碼保護,
cryptologic,密碼邏輯,
cryptologic organization,密碼邏輯組織,
cryptology,密碼術,密碼學
cryptomaterial,密碼材料,
cryptopart,密碼部分,
cryptosecurity,保密措施；密碼保全,密碼保密
cryptosystem,密碼系統,"密碼系統, *密碼體制"
cryptotechnique,密碼技術,
cryptotext,密碼電文,
crystal,晶體,
crystal amplifier,晶體放大器,
crystal anisotropy,晶體各向導性,
crystal calibrator,晶體校準器,
crystal chemistry,晶體化學,
crystal controlled,晶控,
crystal controlled clock,晶控時鐘,
crystal controlled oscillator,晶控振盪器,
crystal counter,晶體計數器,
crystal current,晶體電流,
crystal diode,晶體二極體,
crystal gate,晶體閘,
crystal growth,晶體成長,
crystal impedance,晶體阻抗,
crystal lattice,晶格,
crystal orientation,晶向,
crystal oscillator,晶體振盪器,晶體振蕩器
crystal perfection,晶體完美,
crystal pulling,拉單晶,
crystal rectifier,晶體整流器,
crystal triode,晶體三極體,
crystalline anisotropy,晶態各向導性,
crystalline perfection,晶態完美性,
crystalline phase,晶相,
crystalline silicon,晶態矽,
crystallite,微晶,
crystallization,結晶,
crystallization rate,結晶速率,
crystallographic orientation,晶體方向,
crystallographic structure,晶體結構,
crystallography,晶體學,
CSMA,具避免碰撞的載波感測多重存取網路,載波偵聽多址訪問
CSMA/CD,以載波感測的多元存取／具碰撞偵測,
CSMA/CD network,具檢測碰撞的載波感測多重存取網路,"帶碰撞檢測的載波偵聽多址訪問網絡, *CSMA/"
CSS,層疊樣式表,層疊樣式表
CTNE network,CTNE網路,
CTO,技術主管,技朮主管
Ctrl,鍵盤Ctrl鍵,
cube,立方,
cube manager,立方管理器,
cube network,立方網路,
cube root,立方根,
cube-connected cycles,立方連接環,立方[連接]環
cube-connected structure,立方連接結構,立方連接結構
cubic,立方,
cubic algebra,立方代數,
cubic convergence,三次收斂,
cubic fitting model,立方適模型,
cubic graph,三次圖,
cubic meter,立方米,
cubic notation,立方記法,
cubic resistance,立體電阻,
cubic spline,三次雲規；三次樣條,
cubical,立方,
cubical algebra,立方代數,
cubo-cubic transformation,六次變換,
cue,尾接,
cue card,提示卡,
cue mark,尾接標示,
cue response query,尾接響應查詢,
cue signal,尾接信號,
cue tape,提示帶,
cue track,提示軌,
cumulative,累積,
cumulative available capacity,累積可用容量,
cumulative distance,累積距離,
cumulative distribution function,累積分配函數,
cumulative error,累積誤差,
cumulative failure probability,累積故障機率,
cumulative index,累積索引,
cumulative indexing,累積索引,
cumulative material lead time,累加材料前置時間,
cumulative percent cost price,累加百分比成本價格,
cumulative percent items,累加百分比項目,
cumulative percent usage,累加百分比使用量,
cumulative percentage,累加百分比,
cumulative relative frequency,累積相對頻率,
cumulative reliability,累積可靠性,
cumulative remainder,累積剩餘,
cumulative service tape,累積服務磁帶,
cumulative sum,累積和,
cumulative usage,累加使用量,
cumulative usage amount,累加使用量金額,
cumulative value,累積值,
cup wheel printer,杯輪列印機,
Curie point,居里點,
Curie point writing,居里點寫入,
Curie temperature of magnetic core,磁心居里溫度,
curl,旋度,
currency,貨幣；流通,
currency control table,貨幣控制表,
currency indicator,貨幣指示符,
currency sign,貨幣記號,
currency status indicators,流通狀態指示器,
currency symbol,貨幣符號,
current,電流；現行；目前的；目前；現用,
current access mode,現行存取模式,
current activation item,現行活動項目,
current activity,現行活動率,
current activity stack,現行活動堆疊,當前活動棧
current address,現行位址,
current address register,現行位址暫存器,
current amplification,電流放大,
current amplifier,電流放大器,
current annual forecast,本期年度預測,
current argument stack,現行引數堆疊,
current as-is,現行設定,
current assets,流動資產,
current attenuation,電流衰減,
current awareness,現行通告,
current awareness service,現行通告服務,
current backup version,現行備份版本,
current balance,本期餘額,
current beam position,現行電子束位置,
current bit,現行位元,
current bit monitor unit,現行位元監視器單元,
current block number,現行塊號碼,
current buffer address,現行緩衝區位址,
current buffer area,現行緩衝區,
current cell,現用格,
current channel register,現行通道暫存器,
current character,現行字元,
current circuit,電流電路,
current command file,現行命令檔,
current component,電流分量,
current cost,本期成本,
current cursor position,現行游標位置,
current data array,現行資料陣列,
current data bit,現行資料位元,
current database file,現行資料庫檔案,
current date,當日,當前日期
current date information,當日資訊,
current default directory,現行預設目錄,當前默認目錄
current density,電流密度,
current device,現行裝置,
current directory,現行目錄,當前目錄
current directory path,現行目錄路徑,
current disk,現用磁碟,
current distribution,電流分佈,
current document,現用文件,
current document block,現用文件塊,
current drive,現行驅動機,
current efficiency,本期效率,
current file,現行檔案,
current file area,現行檔案區,
current file user,現行檔案用戶,
current gain,電流增益,
current generation,當代,
current generation file,當代檔案,
current generator,電流產生器,
current goal,現行目標,
current graph,電流圖,
current hogging injection logic,電流擾亂注入邏輯,
current hogging logic,電流擾亂邏輯,
current indicator,現行指示器,
current information selection,現行資訊選擇,
current injection logic,電流注入邏輯,
current input,電流輸入,
current input state,電流輸入狀態,
current input stream,電流輸入流；現行輸入,
current input stream pointer,電流輸入流指標；現行輸入狀態,
current instruction,現行指令,
current instruction register,現行指令暫存器,
current instruction segment register,現行指令段暫存器,
current instruction word,現行指令字,
current knife,電流刀,
current labor rate code,本期人工比率碼,
current left margin,現行左容限,
current liabilities,流動負債,
current library,現行程式館,
current limiting resistor,限流電阻器,
current line,現行行,
current line pointer,現行行指標,當前行指針
current location,現行位置,
current location counter,現行位置計數器,
current location pointer,現行位置指標,
current loop,電流迴路,
current machine rate,本期機器比率,
current message block,現用信息塊,
current mode,電流模,
current mode circuit,電流模電路,
current mode complementary transistor,電流模互補電晶體,
current mode digital to analog converter,電流模數位類比轉換器,
current mode logic,電流模邏輯,電流型邏輯
current month percent,本月百分比,
current node,現用節點,
current number,現行號碼,
current operation,現行作業,
current operation work center,現行作業工作中心,
current operator,現行運算子,
current order,現行訂單,
current output,現行輸出；電流輸出,
current output state,現行輸出態；電流輸出狀態,
current overhead,本期間接,
current overhead code,現行一般管理費用碼,
current overhead percentage,本期間接費用百分比,
current overhead rate,本期間接費用比率,
current overhead rate code,本期間接費用費率碼,
current page,現行頁,
current page register,現行頁暫存器,當前頁[面]寄存器
current parent,現行上代,
current partition,現行分區,
current period,現行週期,
current pointer,現行指標,
current position,現行位置,
current print position,現行列印位置,
current priority,現行優先級,當前優先級
current priority indicator,現行優先指示器,
current priority level,現行優先等級,
current probe,電流探針,
current processor priority,現行處理機優先級,
current processor status,現行處理機狀態,
current product line,現行產品線,
current production,現行生產,
current program,現行程式,
current program segment,現行程式段,
current program status word,現行程式狀態字,
current queue,現行佇列,
current record,現行記錄,
current record buffer,現行記錄緩衝區,
current record pointer,現行記錄指標,
current regulator hybrids,電流調整器併合電路,
current replacement cost,現行取代成本,
current requesting program,現行請求程式,
current requirement,現行需求,
current research information system,現行研究資訊系統,
current resources,現行資源,
current rise time,電流上升時間,
current routine,現行常式,
current ruler,現行尺,
current run labor rate,本期運行人工費率,
current schema,現行綱目,
current screen,現行螢幕,
current security count,現行安全計數,
current selected switch,電流選擇開關,
current setup cost per lot,本期每批設置成本,
current setup labor rate,本期設置人工率,
current sink,電流槽,
current slot,現行槽,
current software priority level,現行軟體優先等級,
current source,電流源,電流源
current source file,現行原始檔案,
current sourcing logic,電流源邏輯,
current spike,電流尖波,
current stabilizer,穩流器,
current stack context,現行堆疊上下文,
current stack frame,現行堆疊框,
current stack pointer,現行堆疊指標,
current stack top value,現行堆疊頂值,
current standard cost,現行標準成本,
current state,現行狀態,
current statement number,現行敘述號碼,
current status,現行狀態,
current status indicator,現行狀態指示器,
current status input,現行狀態輸入,
current status list,現行狀態列表,
current status register,現行狀態暫存器,
current steering,電流引導,
current steering diode matrix,電流引導二極體矩陣,
current steering element,電流引導元件,
current steering gate,電流引導閘,
current steering logic,電流引導邏輯,
current steering switch,電流引導開關,
current string,現行字串,
current subtree,現行子樹,
current switch,電流開關,
current switch logic,電流開關邏輯,
current switching circuit,電流開關電路,
current switching mode,電流開關模式,
current system input device,現行系統輸入裝置,
current task,現行任務,
current task table,現行任務表,
current text size,現行正文尺寸,
current threshold,電流定限,
current time,現時,
current transfer order,現行轉移命令,
current transfer ratio,現行傳送比,
current transformer,變流器,
current unit cost,本期單位成本,
current user,現行用戶,
current user coordinate system,現行用戶坐標系統,
current user name,現行用戶名,
current value,現行值,
current versus voltage curve,電流對電壓曲線,
current word pointer,現行字指標,
current work center,現行工作中心,
current working directory,現行工作目錄,
current working set,現行工作集,
current-controlled,電流控制,
current-controlled voltage source,電流控制電壓源,
cursor,游標,游標
cursor blink,游標閃,
cursor control,游標控制,
cursor control key,游標控制鍵,
cursor data,游標資料,
cursor indicator,游標指示器,
cursor left,游標左移,
cursor line,游標線,
cursor mark,游標標示,
cursor mode,游標模態,
cursor movement keys,游標移動鍵,
cursor moving key,游標移動鍵,
cursor position,游標位置,
cursor positioning,游標定位,
cursor register,游標暫存器,
cursor remove,游標移動,
cursor right,游標右移,
cursor roam,游標漫游,
cursor roam area,游標漫游區,
cursor roam position,游標漫游位置,
cursor selection field,游標選擇欄位,
cursor style,游標式樣,
cursor tracking,游標追蹤,
curtate,卡孔區,
curvature,曲率,
curve,曲線,
curve conformity,曲線一致性,
curve description,曲線描述,
curve fitting,曲線配適,曲線擬合
curve fitting compaction,曲線配適緊密,
curve fitting method,曲線配適法,
curve follower,曲線隨動器,曲線跟隨器
curve follower function generator,曲線隨動器函數產生器,
curve following stylus,曲線跟隨劃針,
curve generation,曲線產生,
curve generator,曲線產生器,
curve nonformity,曲線非一致性,
curve pattern compaction,曲線型樣壓緊,
curve plotter,曲線繪圖器,
curve segmentation,曲線分段,
curve smoothing,曲線平滑,曲線光順
curve surface definition,曲線表面定義,
curvilinear,曲線,
curvilinear coordinate,曲線坐標,
curvilinear net,曲線網路,
cushion,軟墊,
custom,習慣；定製；海關,
custom and semicustom,定製及半定製,
custom bonded item,保稅項目,
custom built system,定製系統,
custom design,定製設計,
custom hybrids,定製併合電路,
custom hybrids manufacturers,定製併合電路製造商,
custom information control system,定製資訊控制系統,
custom input/output unit,定製輸入輸出裝置,
custom integrated circuit,定製積體電路,
custom made,定製,
custom made chip,定製晶片,
custom options,定製選項,
custom order,定製訂單,
custom order on-line processing,定製訂單線上處理,
custom processor,定製處理機,
custom program,定製程式,
custom programmable read only memory module,定製可程式唯讀記憶體模組,
custom setting,定製設定,
custom software,定製軟體,
custom system,定製系統,
custom wired,定製佈線,
customer,客戶,客戶
customer accounting system,客戶會計系統,
customer application summary,客戶應用摘要,
customer bank communications terminal,顧客銀行通信終端機,
customer charges,客戶收費,
customer controller,客戶控制器,
customer engineer disk,維護工程師磁碟,
customer engineer diskette,維護工程師磁片,
customer engineer memorandum,維護工程師備忘錄,
customer engineer user profile,維護工程師使用者設定檔,
customer engineer,維護工程師,
customer engineering,維護工程,
customer engineering monitor,維護工程監視器；客戶工程監視器,
customer information control system,客戶資訊控制系統,
customer initiated call,客戶啟動呼叫,
customer interface,客戶介面,
customer item comment,客戶項目說明,
customer job number,客戶工件號碼,
customer meter,客戶儀表,
customer multiplexer,客戶多工器,
customer option,客戶選項,
customer order,客戶訂單,
customer order comment,客戶訂單說明,
customer order lead time,客戶訂單前置時間,
customer order number,客戶訂單號碼,
customer order processing,客戶訂單處理,
customer order summary file,客戶訂單彙總檔案,
customer password,客戶通行碼,
customer pick list requirement,客戶撿料清單需求,
customer premise equipment,用戶端設備,
customer premises equipment,用戶端設備,"用戶產權設備, *用戶建筑群設備"
customer premises network,用戶端設備網路,"用戶產權網絡, *用戶建筑群網絡"
customer replaceable unit,客戶可替換裝置,
customer select,客戶選擇,
customer service,客戶服務,客戶服務
customer service representative,客戶服務代表,
customer setup,客戶設置,
customer shipping name,客戶出貨名稱,
customer special charge display,客戶特別計費顯示,
customer specific product,客戶訂製產品,
customer specification,客戶規格,
customer system,客戶系統,
customer terminal equipment,客戶終端設備,
customer to customer,客戶對客戶,客戶對客戶
customer use,客戶使用,
customization,客戶規格設定,客戶化
customize,自定；定制；設定客戶規格,
customized DTE service,自定DTE業務,用戶指定型DTE業務
customized format,定制格式,
cut,切割,截除
cut and paste,剪貼,剪貼
cut off,截止；切斷,
cut off frequency,截止頻率,
cut off gain,切斷增益,
cut off inventory,截止庫存,
cut off quantity,截止數量,
cut set,割集,
cut set matrix,割集矩陣,
cut sheets,單張紙,
cut-away cassette,糾偏卡式帶,
cutover,截承,
cutpoint,割點,割點
cut-sheet feeder,單頁送紙器,
cut-sheet paper,單張紙,單頁紙
cutter,截斷器,
CX,字元傳送,
cyan magenta yellow,青赤黃,
cyan magenta yellow and black,靛紫黃與黑,
cyber,異度,
CYBER system,CYBER電腦系統,
CYBERNET,CYBERNET電腦網路系統,
cybernetics,仿生學；模控學,控制論
cybernetics system,控制論系統,
cyberpunk,電腦叛客,
cyberspace,異度空間,信息空間
cyborg,生化機器人,
cycle,循環；週期,周期
cycle count,週期盤點,
cycle count activity,週期盤點活動,
cycle count code,週期盤點碼,
cycle count compare,週期盤點比較,
cycle count list,週期盤點列表,
cycle count selection,週期盤點選擇,
cycle counter,循環計數器,
cycle criterion,循環準則,
cycle index,循理指標,
cycle logarithmic,週期對數,
cycle period,循環週期,
cycle rate,循環率,
cycle redundancy check,循環冗餘檢查,循環冗余檢驗
cycle reset,週期重設,
cycle run,循環運行,
cycle shift,循環移位,
cycle stealing,週期竊用,周期竊取
cycle stock,週期庫存,
cycle time,週期時間,周期時間
cycle-free allocation,無循環配置,無循環設置
cycles per instruction,平均指令周期數,平均指令周期數
cyclic code,循環碼,
cyclic feeding,循環饋送,
cyclic file,循環檔案,
cyclic group,循環群,
cyclic interrupt,週期性中斷,周期性中斷
cyclic redundancy,循環冗餘,
cyclic redundancy check character,循環冗餘檢查字元,
cyclic redundancy check,循環冗餘檢查,
cyclic redundancy checking,循環冗餘核對,
cyclic scheduling,循環排程,循環調度
cyclic shift,循環移位；端迴移位,循環移位
cyclic storage,循環儲存,
cyclomatic complexity,迴路複雜性,
CYK algorithm,CYK演算法,CYK算法
cylinder,磁柱；圓柱,柱面
cylinder address,磁柱位址,
cylinder index,磁柱索引,
cylinder lens,圓柱透鏡,
cylinder method,磁柱法,
cylinder number,柱號碼,
